dept,Year,AIadj,SYSadj,Theoadj,IAadj
Tulane University,2000,1.00 ,1.00 ,1.50 ,1.00 
Tulane University,2001,1.00 ,1.00 ,1.00 ,1.20 
Tulane University,2003,1.00 ,1.00 ,1.25 ,1.00 
Tulane University,2005,1.00 ,1.25 ,1.00 ,1.33 
Tulane University,2007,1.25 ,1.00 ,1.00 ,1.00 
Tulane University,2008,1.00 ,1.33 ,1.00 ,1.00 
Tulane University,2011,1.25 ,1.00 ,1.00 ,1.25 
Tulane University,2012,1.00 ,1.00 ,1.00 ,1.33 
Tulane University,2013,1.00 ,1.00 ,1.00 ,1.20 
Tulane University,2015,1.33 ,1.00 ,1.00 ,1.00 
Tulane University,2016,1.00 ,1.00 ,1.00 ,1.50 
Tulane University,2017,1.33 ,1.00 ,1.00 ,1.50 
