dept,Year,AIadj,SYSadj,Theoadj,IAadj
University of Vermont,2000,1.00 ,1.50 ,1.00 ,1.00 
University of Vermont,2001,1.00 ,1.00 ,1.00 ,1.50 
University of Vermont,2002,1.0,1.0,1.0,1.0
University of Vermont,2003,1.0,1.0,1.0,1.0
University of Vermont,2004,1.00 ,1.00 ,1.00 ,1.50 
University of Vermont,2005,1.00 ,1.00 ,1.00 ,1.25 
University of Vermont,2006,1.00 ,1.33 ,1.00 ,1.00 
University of Vermont,2007,1.0,1.0,1.0,1.0
University of Vermont,2008,1.0,1.0,1.0,1.0
University of Vermont,2009,1.0,1.0,1.0,1.0
University of Vermont,2010,1.25 ,1.00 ,1.00 ,1.00 
University of Vermont,2011,1.00 ,1.33 ,1.00 ,1.00 
University of Vermont,2012,1.0,1.0,1.0,1.0
University of Vermont,2013,1.00 ,1.14 ,1.00 ,1.00 
University of Vermont,2014,1.0,1.0,1.0,1.0
University of Vermont,2015,1.00 ,1.33 ,1.00 ,1.00 
University of Vermont,2016,1.00 ,1.50 ,1.00 ,1.00 
University of Vermont,2017,1.00 ,1.25 ,1.00 ,1.00 
